X;Y;cleabs;nature;nom_collaboratif_gauche;nom_collaboratif_droite;importance;fictif;position_par_rapport_au_sol;etat_de_l_objet;date_creation;date_modification;date_d_apparition;date_de_confirmation;sources;identifiants_sources;methode_d_acquisition_planimetrique;precision_planimetrique;methode_d_acquisition_altimetrique;precision_altimetrique;nombre_de_voies;largeur_de_chaussee;itineraire_vert;prive;sens_de_circulation;reserve_aux_bus;urbain;vitesse_moyenne_vl;acces_vehicule_leger;acces_pieton;periode_de_fermeture;nature_de_la_restriction;restriction_de_hauteur;restriction_de_poids_total;restriction_de_poids_par_essieu;restriction_de_largeur;restriction_de_longueur;matieres_dangereuses_interdites;borne_debut_gauche;borne_debut_droite;borne_fin_gauche;borne_fin_droite;insee_commune_gauche;insee_commune_droite;alias_gauche;alias_droit;date_de_mise_en_service;identifiant_voie_1_gauche;identifiant_voie_1_droie;liens_vers_route_nommee;liens_vers_itineraire_autre;cpx_numero;cpx_numero_route_europeenne;cpx_classement_administratif;cpx_gestionnaire;cpx_toponyme_route_nommee;cpx_toponyme_itineraire_cyclable;cpx_toponyme_voie_verte;cpx_nature_itineraire_autre;cpx_toponyme_itineraire_autre;delestage;source_voie_ban_gauche;source_voie_ban_droite;nom_voie_ban_gauche;nom_voie_ban_droite;lieux_dits_ban_gauche;lieux_dits_ban_droite;identifiant_voie_ban_gauche;identifiant_voie_ban_droite;sens_amenagement_cyclable_gauche;sens_amenagement_cyclable_droit;amenagement_cyclable_gauche;amenagement_cyclable_droit;aire_de_retournement_dfci;gabarit_dfci;impasse_dfci;nature_detaillee_dfci;ouvrage_d_art_limitant_dfci;pente_maximale_dfci;piste_dfci;piste_dfci_debroussaillee;piste_dfci_fosses;sens_de_circulation_dfci;tout_terrain_dfci;vitesse_moyenne_dfci;zone_de_croisement_dfci
2.1690226;48.682791999771;way/430571512;Escalier;;;"6";Faux;"-1";En service;;2019-05-26T18:49:20Z;;2019-05-26;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1689504806895;48.6828006534055;way/430571511;;;;"6";Faux;"0";En service;;2020-05-19T16:44:48Z;;2020-05-19;;;;;;;"0";;;Faux;;;;;Libre;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16891855200265;48.6828204265836;way/430571507;Route à 1 chaussée;;;"5";Faux;"-1";En service;;2016-07-12T12:45:04Z;;2016-07-12;;;;;;;"0";;Faux;Faux;Double sens;;;;Libre;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1691195485907;48.6827997434145;way/430571515;Sentier;;;"6";Faux;"0";En service;;2016-07-12T12:45:05Z;;2016-07-12;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16871947660948;48.6828233778125;way/430571502;Route à 1 chaussée;;;"5";Faux;"-1";En service;;2016-07-12T12:45:04Z;;2016-07-12;;;;;;;"0";;Faux;Faux;Sens direct;;;;Libre;Restreint aux ayants droit;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16884628080479;48.6828079504521;way/430571501;Route à 1 chaussée;;;"5";Faux;"-1";En service;;2016-07-12T12:45:04Z;;2016-07-12;;;;;;;"0";;Faux;Faux;Double sens;;;;Libre;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1688224;48.683582399772;way/87361057;Chemin;;;"6";Faux;"1";En service;;2017-10-23T14:56:09Z;;2017-10-23;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1688291;48.6834933498704;way/1225790252;Chemin;;;"6";Faux;"0";En service;;2023-11-22T00:07:09Z;;2023-11-22;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16887025707136;48.6841535958214;way/90850460;Chemin;;;"6";Faux;"0";En service;;2017-10-23T14:56:12Z;;2017-10-23;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16888467973383;48.6859495506136;way/90850457;Chemin;;;"6";Faux;"0";En service;;2016-04-24T10:20:56Z;;2016-04-24;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16880959871746;48.6860299406816;way/90850450;Chemin;;;"6";Faux;"0";En service;;2016-04-24T10:20:56Z;;2016-04-24;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16881835;48.6853101497779;way/716832290;Chemin;;;"6";Faux;"0";En service;;2019-08-21T19:25:49Z;;2019-08-21;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.168752751645;48.6849375623079;way/568745135;Chemin;;;"6";Faux;"0";En service;;2019-08-21T19:25:49Z;;2019-08-21;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1687306;48.684815399772;way/568745139;Sentier;;;"6";Faux;"0";En service;;2025-01-31T21:13:08Z;;2025-01-31;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1687253689504;48.6846827576305;way/568745138;Sentier;;;"6";Faux;"0";En service;;2025-01-31T21:13:08Z;;2025-01-31;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16863424904858;48.6845816558559;way/543975607;Sentier;;;"6";Faux;"0";En service;;2025-01-31T21:13:08Z;;2025-01-31;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16864378379201;48.6851849645473;way/568745141;Sentier;;;"6";Faux;"0";En service;;2025-01-31T21:13:08Z;;2025-01-31;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16865179000403;48.6852688935952;way/90850449;Chemin;;;"6";Faux;"0";En service;;2018-03-11T18:01:15Z;;2018-03-11;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16868390444196;48.6867967202662;way/27840668;Route à 1 chaussée;Avenue de Normandie;Avenue de Normandie;"5";Faux;"0";En service;;2025-10-18T19:32:24Z;;2025-10-18;;;;;;;"0";;Faux;Faux;Double sens;;Vrai;;Libre;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16875995;48.686883600241;way/218601431;Chemin;;;"6";Faux;"1";En service;;2016-04-24T10:21:02Z;;2016-04-24;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Libre;Libre;;Aménagement mixte hors voie verte;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16925799153357;48.686547646248;way/119894533;Route à 1 chaussée;;;"5";Faux;"0";En service;;2013-09-02T00:33:42Z;;2013-09-02;;;;;;;"0";;Faux;Faux;Double sens;;Vrai;;Libre;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.1697745;48.6860677497703;way/438287630;Escalier;;;"6";Faux;"0";En service;;2022-08-06T11:23:57Z;;2022-08-06;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16720379891256;48.6830401379359;way/716832296;Route à 1 chaussée;Rue des Bergères;Rue des Bergères;"5";Faux;"0";En service;;2023-11-22T00:07:09Z;;2023-11-22;;;;;;;"0";;Faux;Faux;Double sens;;Vrai;;Libre;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16733190800953;48.683090166816;way/716832295;Route à 1 chaussée;;;"5";Faux;"0";En service;;2025-02-17T09:52:15Z;;2025-02-17;;;;;;;"0";;Faux;Faux;Sens direct;;;;Libre;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16735615;48.6838715997709;way/1385630298;Sentier;;;"6";Faux;"0";En service;;2025-05-11T18:03:02Z;;2025-05-11;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16743355;48.6838639997708;way/1385630294;Escalier;;;"6";Faux;"0";En service;;2025-05-11T18:03:02Z;;2025-05-11;;;;;;;Sans objet;;Faux;Faux;Sans objet;;;;Physiquement impossible;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16741939879447;48.6848515949909;way/411759063;Route à 1 chaussée;Rue des Bergères;Rue des Bergères;"5";Faux;"0";En service;;2025-09-07T16:10:54Z;;2025-09-07;;;;;;;"0";;Faux;Faux;Sens direct;;Vrai;;Libre;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16728175;48.6836272503841;way/89444368;Route à 1 chaussée;Rue des Bergères;Rue des Bergères;"5";Faux;"0";En service;;2023-11-22T00:07:09Z;;2023-11-22;;;;;;;"0";;Faux;Faux;Sens direct;;Vrai;;Libre;Libre;;;"4.2";;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2.16764832656247;48.6866947336501;way/25386602;Route à 1 chaussée;Rue des Bergères;Rue des Bergères;"5";Faux;"0";En service;;2025-02-17T09:52:15Z;;2025-02-17;;;;;;;"0";;Faux;Faux;Double sens;;Vrai;;Libre;Libre;;;;;;;;Faux;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
